Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,BX8071512900KF,Intel,i9 12900KF,1,117,177,https://cpu.userbenchmark.com/SpeedTest/1685583/12th Gen IntelR CoreTM i9 12900KF
CPU,BX8071512700KF,Intel,i7 12700KF,2,115,424,https://cpu.userbenchmark.com/SpeedTest/1699429/12th Gen IntelR CoreTM i7 12700KF
CPU,BX8071512900K,Intel,i9 12900K,3,115,1115,https://cpu.userbenchmark.com/Intel Core i9 12900K/Rating/4118
CPU,BX8071512700K,Intel,i7 12700K,4,112,1032,https://cpu.userbenchmark.com/Intel Core i7 12700K/Rating/4119
CPU,BX8071512600KF,Intel,i5 12600KF,5,110,92,https://cpu.userbenchmark.com/SpeedTest/1700734/12th Gen IntelR CoreTM i5 12600KF
CPU,BX8071512600K,Intel,i5 12600K,6,110,948,https://cpu.userbenchmark.com/Intel Core i5 12600K/Rating/4120
CPU,BX8070811900KF,Intel,i9 11900KF,7,106,3039,https://cpu.userbenchmark.com/SpeedTest/1515781/11th Gen IntelR CoreTM i9 11900KF   350GHz
CPU,BX8070811900F,Intel,i9 11900F,8,105,1637,https://cpu.userbenchmark.com/SpeedTest/1492552/11th Gen IntelR CoreTM i9 11900F   250GHz
CPU,BX8070811900K,Intel,i9 11900K,9,105,14951,https://cpu.userbenchmark.com/Intel Core i9 11900K/Rating/4110
CPU,BX8070811900,Intel,i9 11900,10,104,1693,https://cpu.userbenchmark.com/SpeedTest/1515871/11th Gen IntelR CoreTM i9 11900   250GHz
CPU,BX8070811700K,Intel,i7 11700K,11,102,24470,https://cpu.userbenchmark.com/Intel Core i7 11700K/Rating/4107
CPU,BX8070811700KF,Intel,i7 11700KF,12,102,5020,https://cpu.userbenchmark.com/SpeedTest/1514594/11th Gen IntelR CoreTM i7 11700KF   360GHz
CPU,100 100000061WOF,AMD,Ryzen 9 5900X,13,102,96725,https://cpu.userbenchmark.com/AMD Ryzen 9 5900X/Rating/4087
CPU,BX8070811600KF,Intel,i5 11600KF,14,102,2194,https://cpu.userbenchmark.com/SpeedTest/1512279/11th Gen IntelR CoreTM i5 11600KF   390GHz
CPU,100 100000059WOF,AMD,Ryzen 9 5950X,15,102,45234,https://cpu.userbenchmark.com/AMD Ryzen 9 5950X/Rating/4086
CPU,BX8070811600,Intel,i5 11600,16,102,871,https://cpu.userbenchmark.com/SpeedTest/1543284/11th Gen IntelR CoreTM i5 11600   280GHz
CPU,BX8070110900KF,Intel,i9 10900KF,17,101,16016,https://cpu.userbenchmark.com/SpeedTest/1174369/IntelR CoreTM i9 10900KF CPU   370GHz
CPU,BX8070110900K,Intel,i9 10900K,18,101,69277,https://cpu.userbenchmark.com/Intel Core i9 10900K/Rating/4071
CPU,BX80684I99900KS,Intel,i9 9900KS,19,100,13892,https://cpu.userbenchmark.com/SpeedTest/929964/IntelR CoreTM i9 9900KS CPU   400GHz
CPU,BX8070811600K,Intel,i5 11600K,20,100,14606,https://cpu.userbenchmark.com/Intel Core i5 11600K/Rating/4113
CPU,BX8070811500,Intel,i5 11500,21,99.6,1628,https://cpu.userbenchmark.com/SpeedTest/1496869/11th Gen IntelR CoreTM i5 11500   270GHz
CPU,100 100000063WOF,AMD,Ryzen 7 5800X,22,99.4,170925,https://cpu.userbenchmark.com/AMD Ryzen 7 5800X/Rating/4085
CPU,BX8070110850K,Intel,i9 10850K,23,99.3,58850,https://cpu.userbenchmark.com/SpeedTest/1255865/IntelR CoreTM i9 10850K CPU   360GHz
CPU,BX8070811700,Intel,i7 11700,24,99,7059,https://cpu.userbenchmark.com/SpeedTest/1450761/11th Gen IntelR CoreTM i7 11700   250GHz
CPU,,AMD,Ryzen 9 5900,25,98.2,327,https://cpu.userbenchmark.com/SpeedTest/1528736/AMD Ryzen 9 5900 12 Core Processor
CPU,BX80684I99900KF,Intel,i9 9900KF,26,97.6,18402,https://cpu.userbenchmark.com/SpeedTest/764533/IntelR CoreTM i9 9900KF CPU   360GHz
CPU,BX80684I79700KF,Intel,i7 9700KF,27,97.5,29903,https://cpu.userbenchmark.com/SpeedTest/710154/IntelR CoreTM i7 9700KF CPU   360GHz
CPU,BX8070110700KF,Intel,i7 10700KF,28,97.4,22762,https://cpu.userbenchmark.com/SpeedTest/1171560/IntelR CoreTM i7 10700KF CPU   380GHz
CPU,BX80684I79700K,Intel,i7 9700K,29,97.4,425879,https://cpu.userbenchmark.com/Intel Core i7 9700K/Rating/4030
CPU,,AMD,Ryzen 7 5800,30,97.2,1079,https://cpu.userbenchmark.com/SpeedTest/1496609/AMD Ryzen 7 5800 8 Core Processor
CPU,BX80684I99900K,Intel,i9 9900K,31,96.9,409061,https://cpu.userbenchmark.com/Intel Core i9 9900K/Rating/4028
CPU,,Intel,i9 10900,32,96.8,7552,https://cpu.userbenchmark.com/SpeedTest/1169242/IntelR CoreTM i9 10900 CPU   280GHz
CPU,100 100000065BOX,AMD,Ryzen 5 5600X,33,96.8,223074,https://cpu.userbenchmark.com/AMD Ryzen 5 5600X/Rating/4084
CPU,BX8070110900F,Intel,i9 10900F,34,96.8,6128,https://cpu.userbenchmark.com/SpeedTest/1196789/IntelR CoreTM i9 10900F CPU   280GHz
CPU,BX8070110700K,Intel,i7 10700K,35,96.7,159443,https://cpu.userbenchmark.com/Intel Core i7 10700K/Rating/4070
CPU,BX8070811700F,Intel,i7 11700F,36,96.7,5317,https://cpu.userbenchmark.com/SpeedTest/1522100/11th Gen IntelR CoreTM i7 11700F   250GHz
CPU,100 100000263BOX,AMD,Ryzen 7 5700G,37,95.8,5836,https://cpu.userbenchmark.com/SpeedTest/1552677/AMD Ryzen 7 5700G with Radeon Graphics
CPU,BX8070811400,Intel,i5 11400,38,94.9,8586,https://cpu.userbenchmark.com/Intel Core i5 11400/Rating/4112
CPU,BX8070110600K,Intel,i5 10600K,39,94.2,51045,https://cpu.userbenchmark.com/Intel Core i5 10600K/Rating/4072
CPU,,Intel,i9 11950H,40,94,424,https://cpu.userbenchmark.com/SpeedTest/1554081/11th Gen IntelR CoreTM i9 11950H   260GHz
CPU,,Intel,i9 11980HK,41,94,784,https://cpu.userbenchmark.com/SpeedTest/1569162/11th Gen IntelR CoreTM i9 11980HK   260GHz
CPU,BX8070110700,Intel,i7 10700,42,93.8,45803,https://cpu.userbenchmark.com/Intel Core i7 10700/Rating/4077
CPU,BX8070110700F,Intel,i7 10700F,43,93.7,26414,https://cpu.userbenchmark.com/SpeedTest/1183814/IntelR CoreTM i7 10700F CPU   290GHz
